Title_id,Title,Disney_rank
473,Lab Rats,
517,America's Funniest Home Videos,
564,Brain Games,
592,Jessie,
847,PJ Masks,
945,Best Friends Whenever,
1936,The Simpsons,
1949,Gravity Falls,
2035,Marvel's Runaways,
2175,Star vs. the Forces of Evil,
2266,X-Men: Evolution,
2269,Good Luck Charlie,
2411,K.C. Undercover,
2412,Doug,
2423,Life Below Zero,
2459,Running Wild with Bear Grylls,
2478,The Incredible Dr. Pol,
2681,Doc McStuffins,
2833,Handy Manny,
3052,Sheriff Callie's Wild West,
3122,Henry Hugglemonster,
3198,Holiday Magic,
3253,Out There with Jack Randall,
3368,Lost Treasures of Egypt,
5456,The Mandalorian,
5457,Star Wars: The Clone Wars,
5458,Marvel's Agent Carter,
5459,Star Wars Rebels,
5460,DuckTales,
5461,X-Men,
5462,One Strange Rock,
5463,Spider-Man,
5464,High School Musical: The Musical: The Series,
5465,Boy Meets World,
5466,The Imagineering Story,
5467,Phineas and Ferb,
5468,DuckTales,
5469,Wizards of Waverly Place,
5470,Lizzie McGuire,
5471,Kim Possible,
5472,Recess,
5473,Wolverine and the X-Men,
5474,That's So Raven,
5475,The Avengers: Earth's Mightiest Heroes,
5476,The World According to Jeff Goldblum,
5477,Gargoyles,
5478,Chip 'n' Dale Rescue Rangers,
5479,The Suite Life of Zack & Cody,
5480,Girl Meets World,
5481,Darkwing Duck,
5482,Marvel's Ultimate Spider-Man,
5483,Disney Gallery / Star Wars: The Mandalorian,
5484,TRON: Uprising,
5485,The Suite Life on Deck,
5486,TaleSpin,
5487,Gordon Ramsay: Uncharted,
5488,The Muppets,
5489,Disney's Adventures of the Gummi Bears,
5490,Rapunzel's Tangled Adventure,
5491,Mickey Mouse Clubhouse,
5492,Hannah Montana,
5493,Kickin' It,
5494,Violetta,
5495,Marvel's Avengers Assemble,
5496,I am Luna,
5497,Even Stevens,
5498,Austin & Ally,
5499,Star Wars Resistance,
5500,Prop Culture,
5501,Andi Mack,
5502,Sonny with a Chance,
5503,The New Adventures of Winnie the Pooh,
5504,Dog Whisperer,
5505,Little Einsteins,
5506,Raven's Home,
5507,Marvel's Inhumans,
5508,Marvel's Spider-Man,
5509,So Weird,
5510,Diary of a Future President,
5511,Timon & Pumbaa,
5512,Milo Murphy's Law,
5513,Shake It Up,
5514,Marvel's Guardians of the Galaxy,
5515,Lilo & Stitch: The Series,
5516,Hercules,
5517,Wicked Tuna,
5518,Encore!,
5519,Big City Greens,
5520,Phil of the Future,
5521,The Proud Family,
5522,Elena of Avalor,
5523,Spider-Man Unlimited,
5524,Amphibia,
5525,Iron Man: Armored Adventures,
5526,Dr. K's Exotic Animal ER,
5527,Spider-Man and His Amazing Friends,
5528,Big Hero 6 The Series,
5529,Goof Troop,
5530,Sydney to the Max,
5531,The Super Hero Squad Show,
5532,Puppy Dog Pals,
5533,The Incredible Hulk,
5534,One Day at Disney,
5535,Quack Pack,
5536,I Didn't Do It,
5537,The Emperor's New School,
5538,Coop & Cami Ask The World,
5539,Hostile Planet,
5540,Stuck in the Middle,
5541,Bonkers,
5542,Fantastic Four: World's Greatest Heroes,
5543,Randy Cunningham: 9th Grade Ninja,
5544,Fantastic Four,
5545,Silver Surfer,
5546,My Friends Tigger & Pooh,
5547,Imagination Movers,
5548,Out of the Box,
5549,Vampirina,
5550,The Lion Guard,
5551,"Dr. Oakley, Yukon Vet",
5552,Marvel’s Hulk and the Agents of S.M.A.S.H,
5553,Primal Survivor,
5554,Crash & Bernstein,
5555,Jake and the Never Land Pirates,
5556,Car S.O.S.,
5557,Lab Rats: Elite Force,
5558,JONAS,
5559,Iron Man,
5560,Mighty Ducks: The Animated Series,
5561,Fish Hooks,
5562,Evermoor,
5563,Short Circuit,
5564,Lego Star Wars: Droid Tales,
5565,The Replacements,
5566,Pick of the Litter,
5567,Muppet Babies,
5568,Fancy Nancy,
5569,Mickey and the Roadster Racers,
5570,It's A Dog's Life,
5571,Pixar in Real Life,
5572,Secrets of the Zoo,
5573,The Lodge,
5574,Kingdom of the White Wolf,
5575,Legend of the Three Caballeros,
5576,Marvel's Hero Project,
5577,Be our Chef,
5578,Shop Class,
5579,Spin and Marty,
5580,The Book of Pooh,
5581,Great Migrations,
5582,Year Million,
5583,Origins: The Journey of Humankind,
5584,Bizaardvark,
5585,The Avengers: United They Stand,
5586,Spider-Woman,
5587,Dog: Impossible,
5588,America's National Parks,
5589,Kirby Buckets,
5590,LEGO Star Wars: All-Stars,
5591,Fast Layne,
5592,Teacher's Pet,
5593,Unlikely Animal Friends,
5594,Secrets of the Zoo: Tampa,
5595,Marvel Super Hero Adventures,
5596,Disney Family Sundays,
5597,Birth of Europe,
5598,Buried Secrets of the Bible with Albert Lin,
5599,Billy Dilley's Super-Duper Subterranean Summer,
5600,Rocky Mountain Animal Rescue,
5601,Prairie Dog Manor,
5602,Disney Junior Music Nursery Rhymes,
5603,Bug Juice: My Adventures at Camp,
5604,Disney Insider,
5605,Lost Treasures of the Maya,
5606,Awesome Animals,
5607,Tut's Treasures: Hidden Secrets,
5608,Paradise Islands,
5609,Wild Russia,
5610,Love & Vets,
5611,United States of Animals,
5707,Saving Mr. Banks,
5715,Amy,
5734,Bolt,
5737,The Princess and the Frog,
5762,Miracle,
6094,White Fang,
6336,Chicken Little,
7259,Diana: In Her Own Words,
7373,The Little Mermaid,
7388,Zapped,
9192,Free Solo,
9291,Jane,
9386,The Hunchback of Notre Dame,
9466,Teen Spirit,
9572,The Kid,
9925,Inside Out,
10050,The Avengers,
10066,Thor,
10067,Captain America: The First Avenger,
10074,Iron Man 2,
10776,Robin Hood,
11010,The Three Musketeers,
11013,Empire of Dreams: The Story of the Star Wars Trilogy,
12104,Cinderella,
12467,Starstruck,
12572,Elephant,
14184,Noelle,
14940,The Prince and the Pauper,
15414,"20,000 Leagues Under the Sea",
15714,Bears,
17150,The Swap,
18329,Sleeping Beauty,
21824,Star Wars: A New Hope,
21825,Star Wars: The Empire Strikes Back,
21826,The Lion King,
21827,Toy Story,
21828,Avengers: Endgame,
21829,WALL·E,
21830,Up,
21831,Guardians of the Galaxy,
21832,Finding Nemo,
21833,Coco,
21834,Toy Story 3,
21835,"Monsters, Inc.",
21836,Star Wars: Return of the Jedi,
21837,Zootopia,
21838,Star Wars: The Force Awakens,
21839,Captain America: Civil War,
21840,Thor: Ragnarok,
